description,quality,tp,fp,support
{'Price': >= 4.99},0.3,3,7,10
{'ABV': <= 40.0},0.3,3,7,10
{'Vintage': >= 1999.0},0.3,3,7,10
{'ABV': >= 0.5},0.3,3,7,10
{'Price': <= 430.0},0.3,3,7,10
{'ABV': <= 14.5},0.3,3,7,10
{'Vintage': >= 2019.0},0.3,3,7,10
{'Vintage': <= 2023.0},0.3,3,7,10
