feature,support_ratio,concept_weight,implication_weight,importance_score
Closure_Natural Cork,0.6465116279069767,1381.236434108526,1.655503875968992,1383.538449612402
region_clean_Other,0.5635658914728682,1030.0131782945734,0.6920930232558139,1031.268837209302
Type_White,0.45271317829457364,766.3961240310078,2.516899224806203,769.3657364341087
Type_Red,0.44108527131782943,655.0201550387595,2.010232558139535,657.4714728682168
abv_num_low,0.44728682170542633,637.5116279069771,1.0136434108527133,638.9725581395353
vintage_year_low,0.4007751937984496,415.70852713178306,0.7820155038759691,416.8913178294575
Style_Other,0.3829457364341085,413.58604651162835,0.48434108527131786,414.4533333333338
Country_France,0.3891472868217054,379.8434108527134,2.1168992248062017,382.34945736434133
price_num_low,0.3488372093023256,343.57364341085315,0.26418604651162786,344.18666666666707
abv_num_mid,0.34031007751937986,318.55038759689944,0.6604651162790699,319.5511627906979
price_num_mid,0.33410852713178296,281.9534883720931,0.3525581395348837,282.64015503875976
Closure_Screwcap,0.3209302325581395,281.48139534883745,0.6310077519379845,282.43333333333356
price_num_high,0.31705426356589145,223.21395348837208,1.43968992248062,224.9706976744186
vintage_year_high,0.2558139534883721,201.78992248062022,0.41488372093023257,202.4606201550388
char::Peach,0.18992248062015504,104.91550387596902,0.535813953488372,105.64124031007755
vintage_year_mid,0.2054263565891473,95.40542635658916,0.12372093023255813,95.73457364341085
char::Vanilla,0.2007751937984496,94.09922480620152,0.6818604651162792,94.98186046511624
abv_num_high,0.2054263565891473,90.22790697674425,0.27348837209302324,90.70682170542642
grape::Chardonnay,0.18372093023255814,88.46589147286821,1.3054263565891475,89.95503875968991
char::Green Apple,0.18914728682170542,79.47209302325577,0.9181395348837211,80.5793798449612
char::Citrus Fruit,0.18527131782945735,75.62790697674416,0.46883720930232553,76.28201550387594
char::Raspberry,0.14728682170542637,57.63798449612402,0.12744186046511627,57.91271317829457
char::Lemon,0.15658914728682172,49.58759689922483,1.0176744186046511,50.7618604651163
Country_Other,0.16511627906976745,46.82868217054264,0.12093023255813953,47.11472868217054
char::Red Fruit,0.15891472868217055,45.774418604651174,0.5265116279069768,46.45984496124032
char::Strawberry,0.13178294573643412,44.555038759689914,0.1311627906976744,44.81798449612402
vintage_year_missing,0.13798449612403102,41.80542635658915,0.6269767441860464,42.57038759689923
region_clean_Unknown,0.12868217054263567,32.89689922480622,0.8790697674418604,33.90465116279072
char::Spice,0.1387596899224806,32.05271317829456,0.2037209302325581,32.3951937984496
char::Black Plum,0.12790697674418605,30.615503875968994,0.6130232558139534,31.356434108527132
char::Blackberry,0.12403100775193798,28.095348837209304,0.5479069767441861,28.76728682170543
Style_Rich & Toasty,0.10930232558139535,25.321705426356584,0.6623255813953487,26.093333333333327
Type_Rosé,0.09612403100775194,21.915503875969,0.364031007751938,22.37565891472869
Style_Savoury & Full Bodied,0.11937984496124031,21.706201550387604,0.3153488372093023,22.140930232558148
char::Black Fruit,0.11627906976744186,20.745736434108526,0.7674418604651163,21.629457364341082
Country_Italy,0.11395348837209303,18.268992248062016,0.037209302325581395,18.42015503875969
Style_Bold & Spicy,0.08759689922480621,11.761240310077524,0.10511627906976745,11.953953488372097
grape::Pinot Noir,0.08992248062015504,9.567441860465117,0.15534883720930232,9.812713178294574
Style_Crisp & Zesty,0.07596899224806201,8.027131782945736,0.19627906976744186,8.29937984496124
grape::Sauvignon Blanc,0.07906976744186046,7.05968992248062,0.4446511627906977,7.583410852713179
Country_Spain,0.08759689922480621,7.098449612403101,0.08093023255813953,7.266976744186047
Style_Light & Elegant,0.08062015503875969,6.925581395348838,0.25581395348837205,7.262015503875969
region_clean_Burgundy,0.07829457364341086,6.007751937984496,0.24465116279069768,6.330697674418604
Country_Australia,0.07441860465116279,5.836434108527131,0.15658914728682172,6.067441860465115
Style_Fresh & Elegant ,0.07364341085271318,4.382945736434109,0.12930232558139534,4.585891472868218
Country_New Zealand,0.07054263565891473,3.6961240310077526,0.30542635658914724,4.072093023255815
grape::Cabernet Sauvignon,0.06744186046511629,3.5364341085271316,0.08093023255813954,3.684806201550387
Style_Ripe & Rounded,0.07054263565891473,3.1821705426356592,0.24279069767441858,3.4955038759689927
grape::Grenache,0.06356589147286822,2.882945736434108,0.03627906976744186,2.982790697674418
Country_South Africa,0.059689922480620154,2.0891472868217056,0.07162790697674418,2.22046511627907
region_clean_Bordeaux,0.05193798449612403,1.675968992248062,0.21953488372093022,1.9474418604651165
region_clean_Marlborough,0.050387596899224806,1.2015503875968991,0.13209302325581396,1.384031007751938
region_clean_South Australia,0.043410852713178294,0.6077519379844961,0.05209302325581395,0.7032558139534885
region_clean_Loire,0.04573643410852713,0.5945736434108527,0.054883720930232555,0.6951937984496124
region_clean_Rhône,0.03798449612403101,0.0,0.045581395348837206,0.08356589147286822
Country_USA,0.03953488372093023,0.03953488372093023,0.0,0.07906976744186046
Closure_Synthetic Cork,0.018604651162790697,0.0,0.0,0.018604651162790697
Closure_Unknown,0.008527131782945736,0.0,0.0,0.008527131782945736
abv_num_missing,0.0069767441860465115,0.0,0.0,0.0069767441860465115
Closure_Vinolok,0.005426356589147287,0.0,0.0,0.005426356589147287
Type_Unknown,0.003875968992248062,0.0,0.0,0.003875968992248062
Type_Tawny,0.0031007751937984496,0.0,0.0,0.0031007751937984496
Type_Orange,0.0015503875968992248,0.0,0.0,0.0015503875968992248
Type_Brown,0.0007751937984496124,0.0,0.0,0.0007751937984496124
Type_Other,0.0007751937984496124,0.0,0.0,0.0007751937984496124
