Title,Price,Grape,Closure,Country,Characteristics,Type,ABV,Region,Style,Vintage,Price_bin,ABV_bin,Vintage_bin
Chosen by Majestic Grüner Veltliner Kremstal DAC 2022,15.053333333333333,Gruner Veltliner,Screwcap,Austria,"{'Lemon', 'Red Apple', 'Quince', 'Peach', 'White Pepper'}",White,12.5,Austria,"{'Fresh', 'Elegant'}",2022.0,15<Price<=25,ABV<=12.5,Vintage>2020
Chosen by Majestic Valpolicella Superiore DOC 2020/21,15.986666666666666,Corvina,Screwcap,Italy,"{'Black Fruit', 'Red Cherry', 'Spice', 'Vanilla'}",Red,13.0,Veneto,"{'Bold', 'Spicy'}",2021.0,15<Price<=25,12.5<ABV<=13.5,Vintage>2020
Maison Chanzy 'En Rosey' Rully Rouge 2019/20,33.32,Pinot Noir,Natural Cork,France,"{'Cranberry', 'Red Cherry', 'Strawberry'}",Red,14.0,Burgundy,"{'Elegant', 'Light'}",2020.0,25<Price<=50,13.5<ABV<=14.5,2015<Vintage<=2020
Triplica Greco di Tufo DOCG 2021/22,17.32,Greco,Natural Cork,Italy,"{'Citrus Fruit', 'Stone Fruit', 'Floral'}",White,13.0,Campania,"{'Zesty', 'Crisp'}",2021.0,15<Price<=25,12.5<ABV<=13.5,Vintage>2020
"Vilarnau ‘Gaudi’ Organic Cava Brut Reserva, Penedès",18.653333333333332,Macabeo,Natural Cork,Spain,"{'Green Apple', 'Pear', 'Bread', 'Pastry'}",White,11.5,,"{'Zesty', 'Crisp'}",,15<Price<=25,ABV<=12.5,
"Pardon et Fils Fleurie 2021/22, Côte des Labourons",21.32,Gamay,Natural Cork,France,"{'Raspberry', 'Strawberry', 'Black Cherry'}",Red,13.5,Beaujolais,"{'Soft', 'Fruity'}",2022.0,15<Price<=25,12.5<ABV<=13.5,Vintage>2020
"Peyrassol 'Réserve des Templiers' Rosé 2021/22 Magnum, Côtes de Provence",23.993333333333336,Grenache,Synthetic Cork,France,"{'Herbaceous', 'Peach', 'Strawberry', 'Raspberry'}",Rosé,13.0,Provence,"{'Delicate', 'Dry'}",2022.0,15<Price<=25,12.5<ABV<=13.5,Vintage>2020
"Rustenberg Cabernet Sauvignon, 2020/21 Stellenbosch",19.986666666666668,Cabernet Sauvignon,Natural Cork,South Africa,"{'Earth', 'Tobacco', 'Blackcurrant', 'Black Fruit', 'Black Plum'}",Red,14.0,Stellenbosch,"{'Smooth', 'Mellow'}",2021.0,15<Price<=25,13.5<ABV<=14.5,Vintage>2020
Baron de Boutisse Saint-Émilion Grand Cru 2018/19,26.653333333333332,Merlot,Natural Cork,France,"{'Blackcurrant', 'Black Plum', 'Cedar'}",Red,14.5,Bordeaux,"{'Full Bodied', 'Savoury'}",2019.0,25<Price<=50,13.5<ABV<=14.5,2015<Vintage<=2020
"Chosen by Majestic Pinot Noir 2022, France",13.32,Pinot Noir,Screwcap,France,"{'Red Fruit', 'Red Cherry', 'Sweet Spice'}",Red,12.5,,"{'Elegant', 'Light'}",2022.0,Price<=15,ABV<=12.5,Vintage>2020
Chosen by Majestic Vinho Verde DOC 2022,11.986666666666666,Loureiro,Screwcap,Portugal,"{'Green Apple', 'Lemon', 'Citrus Fruit'}",White,11.0,Vinho Verde,"{'Zesty', 'Crisp'}",2022.0,Price<=15,ABV<=12.5,Vintage>2020
Gabriel Allard Côtes du Rhône Rouge 2022,13.32,Grenache,Natural Cork,France,"{'Red Fruit', 'Black Pepper', 'Black Plum'}",Red,14.5,Rhône,"{'Smooth', 'Mellow'}",2022.0,Price<=15,13.5<ABV<=14.5,Vintage>2020
Alain Jaume 'Roquedon' Organic Lirac 2018/19,25.319999999999997,Grenache,Natural Cork,France,"{'Blackberry', 'Earth', 'Spice', 'Raspberry', 'Black Plum'}",Red,15.0,Rhône,"{'Bold', 'Spicy'}",2019.0,25<Price<=50,ABV>14.5,2015<Vintage<=2020
"Mirabeau 'Pure' Rosé 2021/22 Magnum, Côtes de Provence",25.326666666666668,Grenache,Synthetic Cork,France,"{'Herbaceous', 'Peach', 'Strawberry', 'Raspberry'}",Rosé,13.0,Provence,"{'Delicate', 'Dry'}",2022.0,25<Price<=50,12.5<ABV<=13.5,Vintage>2020
"Jim Barry 'The Lodge Hill' Riesling 2021/22, Clare Valley",21.32,Riesling,Screwcap,Australia,"{'Green Apple', 'Lemon', 'Honeysuckle', 'Grapefruit', 'Lime', 'Pear', 'Citrus Fruit', 'Petrol', 'Peach', 'Orange'}",White,12.5,South Australia,"{'Fresh', 'Elegant'}",2022.0,15<Price<=25,ABV<=12.5,Vintage>2020
"Nettie Viognier 2019/21, California",15.986666666666666,Viognier,Screwcap,USA,"{'Honey', 'Apricot', 'Pear', 'Floral', 'Peach'}",White,14.0,California,"{'Aromatic', 'Floral'}",2021.0,15<Price<=25,13.5<ABV<=14.5,Vintage>2020
"Thierry Delaunay 'Manoir' Sauvignon Blanc 2021/22, Touraine",17.32,Sauvignon Blanc,Screwcap,France,"{'Green Apple', 'Citrus Fruit', 'Grass'}",White,13.0,Loire,"{'Fresh', 'Elegant'}",2022.0,15<Price<=25,12.5<ABV<=13.5,Vintage>2020
Lanson Le Black Label Brut Champagne Magnum,66.66,Chardonnay,Natural Cork,France,"{'Honey', 'Citrus Fruit', 'Bread'}",White,12.5,,"{'Fruity', 'Crisp'}",,Price>50,ABV<=12.5,
"Wind and Waves Alvarinho 2022, Vinho Verde DOC",15.986666666666666,Alvarinho,Screwcap,Portugal,"{'Tropical Fruit', 'Citrus Fruit', 'Floral'}",White,12.0,,"{'Zesty', 'Crisp'}",2022.0,15<Price<=25,ABV<=12.5,Vintage>2020
Lanson Le Blanc de Blancs Brut Champagne,101.32,Chardonnay,Natural Cork,France,{'nan'},White,12.5,,{'nan'},,Price>50,ABV<=12.5,
"Mud House Chilean Sauvignon Blanc 2021/22, Central Valley",13.32,Sauvignon Blanc,Screwcap,Chile,"{'Citrus Fruit', 'Tropical Fruit', 'Grass'}",White,12.5,Central Valley,"{'Zesty', 'Crisp'}",2022.0,Price<=15,ABV<=12.5,Vintage>2020
"Château d'Anglès 'Grand Vin' 2019/20, La Clape",25.319999999999997,Mourvèdre,Natural Cork,France,"{'Black Fruit', 'Dried Herbs', 'Spice'}",Red,14.5,Languedoc-Roussillon,"{'Bold', 'Spicy'}",2020.0,25<Price<=50,13.5<ABV<=14.5,2015<Vintage<=2020
Bouvet Ladubay Saumur Rosé Brut,19.986666666666668,Cabernet Franc,Natural Cork,France,"{'Strawberry', 'Floral', 'Raspberry', 'Red Fruit', 'Peach'}",Rosé,12.5,Loire,"{'Fruity', 'Crisp'}",,15<Price<=25,ABV<=12.5,
"Petaluma ‘White Label’ Sauvignon Blanc 2021, Adelaide Hills",26.653333333333332,Sauvignon Blanc,Screwcap,Australia,"{'Lemon', 'Grapefruit', 'Grass', 'Passionfruit', 'Melon'}",White,12.5,South Australia,"{'Zesty', 'Crisp'}",2021.0,25<Price<=50,ABV<=12.5,Vintage>2020
"Beato Bartolomeo ‘Naturae' Pinot Noir 2021, Veneto",15.986666666666666,Pinot Noir,Screwcap,Italy,"{'Red Fruit', 'Raspberry', 'Strawberry'}",Red,12.0,Veneto,"{'Elegant', 'Light'}",2021.0,15<Price<=25,ABV<=12.5,Vintage>2020
"Beato Bartolomeo ‘Naturae' Vespaiolo 2022, Breganze DOC",15.986666666666666,Vespaiola,Screwcap,Italy,"{'Grapefruit', 'Lemon', 'Honey'}",White,12.0,Veneto,"{'Zesty', 'Crisp'}",2022.0,15<Price<=25,ABV<=12.5,Vintage>2020
Chosen by Majestic Picpoul de Pinet 2022,15.053333333333333,Picpoul,Screwcap,France,"{'Green Apple', 'Mineral', 'Citrus Fruit'}",White,12.0,Languedoc-Roussillon,"{'Zesty', 'Crisp'}",2022.0,15<Price<=25,ABV<=12.5,Vintage>2020
Piccini ‘Histrio’ Organic Anfora Toscana Bianco 2022,17.32,Vermentino,Natural Cork,Italy,"{'Tropical Fruit', 'Floral', 'Spice'}",White,12.5,Tuscany,"{'Ripe', 'Rounded'}",2022.0,15<Price<=25,ABV<=12.5,Vintage>2020
Piccini ‘Histrio’ Organic Anfora Toscana Rosso 2020,17.32,Sangiovese,Natural Cork,Italy,"{'Red Fruit', 'Red Cherry', 'Floral'}",Red,13.5,Tuscany,"{'Soft', 'Fruity'}",2020.0,15<Price<=25,12.5<ABV<=13.5,2015<Vintage<=2020
"Château Minuty 'M de Minuty' Rosé 2021/22, Côtes de Provence",23.986666666666665,Grenache,Natural Cork,France,"{'Herbaceous', 'Peach', 'Strawberry', 'Raspberry'}",Rosé,13.0,Provence,"{'Delicate', 'Dry'}",2022.0,15<Price<=25,12.5<ABV<=13.5,Vintage>2020
Nicolas Feuillatte 'Grande Réserve' Brut Champagne,39.986666666666665,Pinot Meunier,Natural Cork,France,{'nan'},White,12.0,,"{'Rich', 'Toasty'}",,25<Price<=50,ABV<=12.5,
Louis Jadot 'Les Roches Blanches' Mâcon-Villages 2022,22.653333333333332,Chardonnay,Natural Cork,France,"{'Lemon', 'Peach', 'Floral', 'Apricot'}",White,13.0,Burgundy,"{'Ripe', 'Rounded'}",2022.0,15<Price<=25,12.5<ABV<=13.5,Vintage>2020
"Toast & Honey Chardonnay 2021, California",19.986666666666668,Chardonnay,Natural Cork,USA,"{'Green Apple', 'Honey', 'Vanilla', 'Pineapple', 'Stone Fruit', 'Almond', 'Coconut', 'Peach', 'Toast'}",White,13.0,California,"{'Rich', 'Toasty'}",2021.0,15<Price<=25,12.5<ABV<=13.5,Vintage>2020
Domini Veneti 'La Casetta' Valpolicella Ripasso DOC Superiore 2019,25.319999999999997,Corvina,Natural Cork,Italy,"{'Red Cherry', 'Red Plum', 'Vanilla', 'Fig', 'Sweet Spice'}",Red,14.5,Veneto,"{'Rich', 'Juicy'}",2019.0,25<Price<=50,13.5<ABV<=14.5,2015<Vintage<=2020
Langlois-Chateau 'L'Extra par Langlois' Crémant de Loire Brut,21.32,Chenin Blanc,Natural Cork,France,"{'Green Apple', 'Pear', 'Bread'}",White,12.5,Loire,"{'Fruity', 'Crisp'}",,15<Price<=25,ABV<=12.5,
"The Guv'nor Blanco, Spain",11.986666666666666,Verdejo,Screwcap,Spain,"{'Green Apple', 'Lime', 'Fennel'}",White,12.5,,"{'Zesty', 'Crisp'}",,Price<=15,ABV<=12.5,
E. Guigal Côtes du Rhône 2019/20,19.986666666666668,Grenache,Natural Cork,France,"{'Blackberry', 'Earth', 'Spice', 'Raspberry', 'White Pepper', 'Black Plum'}",Red,15.0,Rhône,"{'Bold', 'Spicy'}",2020.0,15<Price<=25,ABV>14.5,2015<Vintage<=2020
"Ridgeview 'Fitzrovia' Rosé, Sussex",58.653333333333336,Chardonnay,Natural Cork,England,"{'Red Cherry', 'Lemon', 'Raspberry', 'Honey'}",Rosé,12.0,Sussex,"{'Fruity', 'Crisp'}",,Price>50,ABV<=12.5,
"Toast & Honey Pinot Noir 2021/22, California",19.986666666666668,Pinot Noir,Natural Cork,USA,"{'Smoke', 'Cedar', 'Raspberry', 'Red Fruit', 'Black Cherry', 'Toast'}",Red,13.0,California,"{'Smooth', 'Mellow'}",2022.0,15<Price<=25,12.5<ABV<=13.5,Vintage>2020
"Selladore en Provence Rosé 2021, Coteaux Varois en Provence",29.319999999999997,Grenache,Vinolok,France,"{'Red Fruit', 'Mineral', 'Citrus Fruit'}",Rosé,13.0,Provence,"{'Delicate', 'Dry'}",2021.0,25<Price<=50,12.5<ABV<=13.5,Vintage>2020
Definition Gavi di Gavi DOCG 2021/22,19.986666666666668,Cortese,Screwcap,Italy,"{'Green Apple', 'Pear', 'Herbaceous'}",White,12.5,Piedmont,"{'Fresh', 'Elegant'}",2022.0,15<Price<=25,ABV<=12.5,Vintage>2020
"Pasqua 'Desire, Lush & Zin' Primitivo 2021/22, Puglia",17.32,Primitivo,Natural Cork,Italy,"{'Black Fruit', 'Black Plum', 'Vanilla'}",Red,13.5,Puglia,"{'Rich', 'Juicy'}",2022.0,15<Price<=25,12.5<ABV<=13.5,Vintage>2020
La Toledana Gavi di Gavi DOCG 2021,21.32,Cortese,Natural Cork,Italy,"{'Green Apple', 'Lemon', 'Lime', 'Citrus Fruit', 'Floral'}",White,13.0,Piedmont,"{'Aromatic', 'Floral'}",2021.0,15<Price<=25,12.5<ABV<=13.5,Vintage>2020
"Toast & Honey Cabernet Sauvignon 2021, California",19.986666666666668,Cabernet Sauvignon,Natural Cork,USA,{'nan'},Red,13.0,California,{'nan'},2021.0,15<Price<=25,12.5<ABV<=13.5,Vintage>2020
"The Guv'nor Sparkling, Spain",13.32,Chardonnay,Natural Cork,Spain,"{'Peach', 'Citrus Fruit', 'Vanilla'}",White,12.5,,"{'Fruity', 'Crisp'}",,Price<=15,ABV<=12.5,
"Beefsteak Club Malbec 2021/22, Mendoza",13.32,Malbec,Screwcap,Argentina,"{'Red Fruit', 'Black Fruit', 'Violet', 'Ripe Fruit'}",Red,13.5,Mendoza,"{'Soft', 'Fruity'}",2022.0,Price<=15,12.5<ABV<=13.5,Vintage>2020
"Finca Carelio Tempranillo 2018/19, Spain",13.32,Tempranillo,Natural Cork,Spain,"{'Blackcurrant', 'Black Cherry', 'Cedar'}",Red,14.5,Castilla Y León,"{'Full Bodied', 'Savoury'}",2019.0,Price<=15,13.5<ABV<=14.5,2015<Vintage<=2020
Louis Roederer 'Collection 243' Brut Champagne,82.65333333333334,Chardonnay,Natural Cork,France,"{'Biscuit', 'Citrus Fruit', 'Bread'}",White,12.5,,"{'Rich', 'Toasty'}",,Price>50,ABV<=12.5,
Château Méaume Bordeaux Supérieur 2019/20,18.653333333333332,Merlot,Natural Cork,France,"{'Leather', 'Tobacco', 'Blackcurrant', 'Cedar', 'Black Plum'}",Red,14.5,Bordeaux,"{'Full Bodied', 'Savoury'}",2020.0,15<Price<=25,13.5<ABV<=14.5,2015<Vintage<=2020
