Title,Price,Grape,Closure,Country,Characteristics,Type,ABV,Region,Style,Vintage,Price_bin,ABV_bin,Vintage_bin
"Bread & Butter Reserve Cabernet Sauvignon 2019/20, Napa Valley",42.65333333333333,Cabernet Sauvignon,Natural Cork,USA,"{'Blackberry', 'Black Plum', 'Spice', 'Black Cherry', 'Coffee'}",Red,14.5,California,"{'Bold', 'Spicy'}",2019.0,25<Price<=50,13.5<ABV<=14.5,2015<Vintage<=2020
"Bodegas Care Garnacha Blanca Nativa 2021, Cariñena",17.32,Grenache Blanc,Screwcap,Spain,"{'Citrus Fruit', 'Tomato Leaf', 'Blossom', 'Stone Fruit'}",White,13.5,,"{'Ripe', 'Rounded'}",2021.0,15<Price<=25,12.5<ABV<=13.5,Vintage>2020
Beronia Rioja Reserva 2018/19,23.986666666666665,Tempranillo,Natural Cork,Spain,"{'Red Fruit', 'Black Fruit', 'Vanilla'}",Red,14.0,Rioja And Navarra,"{'Full Bodied', 'Savoury'}",2019.0,15<Price<=25,13.5<ABV<=14.5,2015<Vintage<=2020
"Vinos Barco Mencía Menciño 2021, Valdeorras",13.32,Mencia,Natural Cork,Spain,"{'Red Fruit', 'Red Cherry', 'Sweet Spice'}",Red,12.5,Galicia,"{'Smooth', 'Mellow'}",2021.0,Price<=15,ABV<=12.5,Vintage>2020
"Weingut Wieninger Gemischter Satz 2021, Vienna",21.32,Gruner Veltliner,Screwcap,Austria,"{'Green Apple', 'Coconut', 'Citrus Fruit', 'White Pepper'}",White,12.5,Austria,"{'Fresh', 'Elegant'}",2021.0,15<Price<=25,ABV<=12.5,Vintage>2020
"Rivera TerrAnima 2022, Puglia",13.32,Chardonnay,Screwcap,Italy,"{'Fig', 'Citrus Fruit', 'Stone Fruit', 'Herbal'}",White,12.5,Puglia,"{'Aromatic', 'Floral'}",2022.0,Price<=15,ABV<=12.5,Vintage>2020
Casa de Vila Nova Filipa de Lencastre Alvarinho Vinho Verde DOC 2021,15.986666666666666,Albarino,Screwcap,Portugal,"{'Citrus Fruit', 'Earth', 'Bread', 'Tropical Fruit'}",White,12.0,Vinho Verde,"{'Zesty', 'Crisp'}",2021.0,15<Price<=25,ABV<=12.5,Vintage>2020
"Vinos del Viento Garnacha Blanca 2021, Aragón",23.986666666666665,Grenache Blanc,Natural Cork,Spain,"{'Herbaceous', 'Citrus Fruit', 'Blossom', 'Apricot'}",White,12.5,Aragon,"{'Ripe', 'Rounded'}",2021.0,15<Price<=25,ABV<=12.5,Vintage>2020
"Chozas Carrascal ‘Anma’ Organic Red 2019, Valencia",21.32,Garnacha,Natural Cork,Spain,"{'Red Fruit', 'Cinnamon', 'Black Cherry', 'Strawberry'}",Red,13.5,Valencia And Murcia,"{'Smooth', 'Mellow'}",2019.0,15<Price<=25,12.5<ABV<=13.5,2015<Vintage<=2020
Casal Farneto ‘GranCasale’ Verdicchio 2019,22.653333333333332,Verdicchio,Synthetic Cork,Italy,"{'Lemon', 'Peach', 'Bread', 'Floral'}",White,13.0,Le Marche,"{'Fresh', 'Elegant'}",2019.0,15<Price<=25,12.5<ABV<=13.5,2015<Vintage<=2020
Domaine Le Prieuré de Saint-Céols Menetou-Salon 2021,23.986666666666665,Sauvignon Blanc,Natural Cork,France,"{'Wet Stones', 'Citrus Fruit', 'Stone Fruit'}",White,13.0,Loire,"{'Zesty', 'Crisp'}",2021.0,15<Price<=25,12.5<ABV<=13.5,Vintage>2020
Definition Rioja Reserva 2017/18,19.986666666666668,Tempranillo,Natural Cork,Spain,"{'Red Fruit', 'Black Fruit', 'Vanilla'}",Red,14.5,Rioja And Navarra,"{'Full Bodied', 'Savoury'}",2018.0,15<Price<=25,13.5<ABV<=14.5,2015<Vintage<=2020
"Cloudy Bay Sauvignon Blanc 2022/23, Marlborough",39.986666666666665,Sauvignon Blanc,Screwcap,New Zealand,"{'Green Apple', 'Lemon', 'Tropical Fruit', 'Grass'}",White,13.5,Marlborough,"{'Zesty', 'Crisp'}",2023.0,25<Price<=50,12.5<ABV<=13.5,Vintage>2020
"Martín Códax Albariño 2021/22, Rías Baixas",21.32,Albarino,Screwcap,Spain,"{'Wet Stones', 'Peach', 'Lemon', 'Apricot'}",White,13.0,Galicia,"{'Fresh', 'Elegant'}",2022.0,15<Price<=25,12.5<ABV<=13.5,Vintage>2020
Drappier Premier Cru Champagne,51.98666666666667,Pinot Noir,Natural Cork,France,"{'Bread', 'Pear', 'Cream', 'Vanilla', 'Sweet Spice'}",White,12.0,,"{'Rich', 'Toasty'}",,Price>50,ABV<=12.5,
Villa Borghetti Valpolicella Ripasso 2020/21,21.32,Corvina,Natural Cork,Italy,"{'Red Cherry', 'Red Plum', 'Vanilla', 'Fig', 'Sweet Spice'}",Red,13.5,Veneto,"{'Rich', 'Juicy'}",2021.0,15<Price<=25,12.5<ABV<=13.5,Vintage>2020
"Catena Zapata 'Catena Alta' Chardonnay 2020/21, Mendoza",35.986666666666665,Chardonnay,Natural Cork,Argentina,"{'Pineapple', 'Peach', 'Vanilla'}",White,14.0,Mendoza,"{'Rich', 'Toasty'}",2021.0,25<Price<=50,13.5<ABV<=14.5,Vintage>2020
La Rioja Alta 'Viña Ardanza' Rioja Reserva 2015/16,39.986666666666665,Tempranillo,Natural Cork,Spain,"{'Red Fruit', 'Black Fruit', 'Vanilla'}",Red,14.5,Rioja And Navarra,"{'Full Bodied', 'Savoury'}",2016.0,25<Price<=50,13.5<ABV<=14.5,2015<Vintage<=2020
"La Belle Angèle Sauvignon Blanc 2021/22, France",13.32,Sauvignon Blanc,Screwcap,France,"{'Green Apple', 'Pear', 'Gooseberry'}",White,12.0,Languedoc-Roussillon,"{'Zesty', 'Crisp'}",2021.0,Price<=15,ABV<=12.5,Vintage>2020
"Greywacke Sauvignon Blanc 2022, Marlborough",33.32,Sauvignon Blanc,Screwcap,New Zealand,"{'Green Apple', 'Lemon', 'Tropical Fruit', 'Grass'}",White,13.5,Marlborough,"{'Zesty', 'Crisp'}",2022.0,25<Price<=50,12.5<ABV<=13.5,Vintage>2020
"Surani 'Pietrariccia' Fiano 2021/22, Puglia",15.986666666666666,Fiano,Natural Cork,Italy,"{'Melon', 'Citrus Fruit', 'Tropical Fruit', 'Floral'}",White,13.0,Puglia,"{'Zesty', 'Crisp'}",2022.0,15<Price<=25,12.5<ABV<=13.5,Vintage>2020
"Definition Chenin Blanc 2021/22, South Africa",15.986666666666666,Chenin Blanc,Screwcap,South Africa,"{'Honey', 'Citrus Fruit', 'Stone Fruit', 'Floral'}",White,14.0,Stellenbosch,"{'Aromatic', 'Floral'}",2022.0,15<Price<=25,13.5<ABV<=14.5,Vintage>2020
"Santa Rita 'Medalla Real' Carménère 2019/21, Colchagua Valley",18.653333333333332,Carménère,Natural Cork,Chile,"{'Blackberry', 'Earth', 'Leather', 'Tobacco', 'Smoke', 'Blackcurrant', 'Chocolate', 'Vanilla', 'Blueberry', 'Black Plum'}",Red,14.0,Central Valley,"{'Bold', 'Spicy'}",2021.0,15<Price<=25,13.5<ABV<=14.5,Vintage>2020
"BenMarco Malbec 2021/22, Mendoza",19.986666666666668,Malbec,Natural Cork,Argentina,"{'Red Fruit', 'Black Fruit', 'Violet', 'Ripe Fruit'}",Red,14.5,Mendoza,"{'Soft', 'Fruity'}",2021.0,15<Price<=25,13.5<ABV<=14.5,Vintage>2020
"Waimea Estates Pinot Gris 2021/22, Nelson",17.32,Pinot Gris,Screwcap,New Zealand,"{'Pear', 'Lychee', 'Honey', 'Red Apple'}",White,13.0,Nelson,"{'Aromatic', 'Floral'}",2022.0,15<Price<=25,12.5<ABV<=13.5,Vintage>2020
Chandon Garden Spritz,30.653333333333332,Chardonnay,Natural Cork,Argentina,"{'Green Apple', 'Citrus Fruit', 'Orange'}",,11.5,Mendoza,"{'Fresh', 'Elegant'}",,25<Price<=50,ABV<=12.5,
Tommasi 'Il Sestante' Amarone della Valpolicella DOCG 2017/18,57.32,Corvina,Natural Cork,Italy,"{'Black Fruit', 'Spice', 'Vanilla'}",Red,15.0,Veneto,"{'Rich', 'Juicy'}",2018.0,Price>50,ABV>14.5,2015<Vintage<=2020
"Château Rauzan-Ségla 'Ségla' 2014/16, Margaux",66.65333333333334,Cabernet Sauvignon,Natural Cork,France,"{'Blackberry', 'Violet', 'Black Plum', 'Cedar'}",Red,13.5,Bordeaux,"{'Full Bodied', 'Savoury'}",2014.0,Price>50,12.5<ABV<=13.5,Vintage<=2015
Masi 'Costasera' Amarone della Valpolicella Classico DOCG 2017/18,59.98666666666667,Rondinella,Natural Cork,Italy,"{'Red Cherry', 'Red Plum', 'Chocolate', 'Vanilla', 'Fig', 'Sweet Spice'}",Red,15.0,Veneto,"{'Rich', 'Juicy'}",2018.0,Price>50,ABV>14.5,2015<Vintage<=2020
Definition Pouilly-Fumé 2021/22,23.986666666666665,Sauvignon Blanc,Screwcap,France,"{'Green Apple', 'Smoke', 'Citrus Fruit', 'Grass'}",White,14.0,Loire,"{'Fresh', 'Elegant'}",2022.0,15<Price<=25,13.5<ABV<=14.5,Vintage>2020
Beronia Rioja Gran Reserva 2015/16,35.986666666666665,Tempranillo,Natural Cork,Spain,"{'Spice', 'Cocoa', 'Cedar', 'Vanilla', 'Red Fruit', 'Black Fruit', 'Dried Fruit'}",Red,14.5,Rioja And Navarra,"{'Full Bodied', 'Savoury'}",2016.0,25<Price<=50,13.5<ABV<=14.5,2015<Vintage<=2020
"Pasqua 'Villa Borghetti' Chardonnay 2020/21, Veneto",18.653333333333332,Chardonnay,Natural Cork,Italy,"{'Pear', 'Vanilla', 'Red Apple'}",White,13.0,Italy,"{'Ripe', 'Rounded'}",2021.0,15<Price<=25,12.5<ABV<=13.5,Vintage>2020
"Casal de Ventozela Alvarinho 2021/22, Vinho Verde DOC",16.653333333333332,Alvarinho,Screwcap,Portugal,"{'Green Apple', 'Wet Stones', 'Pear', 'Citrus Fruit', 'Peach'}",White,13.5,Vinho Verde,"{'Fresh', 'Elegant'}",2022.0,15<Price<=25,12.5<ABV<=13.5,Vintage>2020
Maison Antech 'Mademoiselle Marguerite' Blanquette de Limoux Brut,19.986666666666668,Mauzac,Natural Cork,France,"{'Green Apple', 'Wet Stones', 'Candied Fruit'}",White,12.0,Limoux,"{'Fruity', 'Crisp'}",,15<Price<=25,ABV<=12.5,
Chanoine Frères ‘Réserve Privée’ Brut Rosé Champagne,71.98666666666666,Chardonnay,Natural Cork,France,{'nan'},Rosé,12.0,,{'nan'},,Price>50,ABV<=12.5,
Ayala 'Le Blanc de Blancs' Champagne 2015/16,93.32,Chardonnay,Natural Cork,France,"{'Green Apple', 'Pear', 'Bread', 'Almond'}",White,12.0,,"{'Rich', 'Toasty'}",2016.0,Price>50,ABV<=12.5,2015<Vintage<=2020
"Penfolds 'Kalimna Bin 28' Shiraz 2019/20, Australia",46.653333333333336,Shiraz,Natural Cork,Australia,"{'Blackberry', 'Tobacco', 'Black Pepper', 'Blackcurrant', 'Chocolate', 'Coffee', 'Vanilla', 'Blueberry', 'Eucalyptus', 'Black Plum'}",Red,14.5,South Australia,"{'Bold', 'Spicy'}",2020.0,25<Price<=50,13.5<ABV<=14.5,2015<Vintage<=2020
Cattier Premier Cru Brut Rosé Champagne,66.65333333333334,Pinot Noir,Natural Cork,France,"{'Blackcurrant', 'Strawberry', 'Apricot'}",Rosé,12.5,,"{'Fruity', 'Crisp'}",,Price>50,ABV<=12.5,
"Duckhorn 'Decoy' Merlot 2019/21, Sonoma County",43.98666666666667,Merlot,Natural Cork,USA,"{'Blackberry', 'Spice', 'Blueberry', 'Raspberry', 'Black Fruit', 'Black Cherry', 'Black Plum'}",Red,14.5,California,"{'Smooth', 'Mellow'}",2021.0,25<Price<=50,13.5<ABV<=14.5,Vintage>2020
"Cillar D Silos 'Torresilo' 2019/20, Ribera del Duero",53.32,Tempranillo,Natural Cork,Spain,"{'Blackcurrant', 'Black Cherry', 'Cedar', 'Spice'}",Red,14.5,Castilla Y León,"{'Full Bodied', 'Savoury'}",2020.0,Price>50,13.5<ABV<=14.5,2015<Vintage<=2020
Moët & Chandon 'Grand Vintage' 2013/15 Champagne,93.32,Chardonnay,Natural Cork,France,"{'Walnut', 'Pear', 'Pastry', 'Nectarine', 'Biscuit', 'Hazelnut', 'Peach'}",White,12.5,,"{'Rich', 'Toasty'}",2015.0,Price>50,ABV<=12.5,Vintage<=2015
"Boekenhoutskloof Cabernet Sauvignon 2017/20, Stellenbosch",59.98666666666667,Cabernet Sauvignon,Natural Cork,South Africa,"{'Earth', 'Leather', 'Smoke', 'Blackcurrant', 'Vanilla'}",Red,14.5,Franschhoek,"{'Full Bodied', 'Savoury'}",2020.0,Price>50,13.5<ABV<=14.5,2015<Vintage<=2020
Ciabot Berton Barolo DOCG 2017/18,43.98666666666667,Nebbiolo,Natural Cork,Italy,"{'Earth', 'Spice', 'Leather', 'Rose', 'Red Fruit'}",Red,14.5,Piedmont,"{'Elegant', 'Light'}",2018.0,25<Price<=50,13.5<ABV<=14.5,2015<Vintage<=2020
Pommery 'Brut Rosé Royal’ Champagne,69.32000000000001,Chardonnay,Natural Cork,France,"{'Red Cherry', 'Raspberry', 'Strawberry'}",Rosé,12.5,,"{'Fruity', 'Crisp'}",,Price>50,ABV<=12.5,
"Rupert & Rothschild Baron Edmond 2017/18, Western Cape",50.653333333333336,Merlot,Natural Cork,South Africa,"{'Tobacco', 'Black Fruit', 'Black Plum', 'Vanilla'}",Red,14.0,Western Cape,"{'Full Bodied', 'Savoury'}",2018.0,Price>50,13.5<ABV<=14.5,2015<Vintage<=2020
"Pouilly-Fumé de Ladoucette 2021/22, France",50.653333333333336,Sauvignon Blanc,Natural Cork,France,"{'Green Apple', 'Smoke', 'Citrus Fruit', 'Grass'}",White,13.5,Loire,"{'Fresh', 'Elegant'}",2021.0,Price>50,12.5<ABV<=13.5,Vintage>2020
Noughty Organic Sparkling Chardonnay 0%,13.32,Chardonnay,Natural Cork,Germany,"{'Citrus Fruit', 'Floral'}",White,,,"{'Refreshing', 'Light'}",,Price<=15,,
"Nyetimber 'Classic Cuvée' Brut Half Bottle, Sussex",53.306666666666665,Chardonnay,Natural Cork,England,"{'Green Apple', 'Bread', 'Citrus Fruit', 'Biscuit', 'Peach'}",White,12.0,Sussex,"{'Rich', 'Toasty'}",,Price>50,ABV<=12.5,
"Nyetimber 'Classic Cuvée' Brut Magnum, Sussex",49.99333333333333,Chardonnay,Natural Cork,England,"{'Green Apple', 'Bread', 'Citrus Fruit', 'Biscuit', 'Peach'}",White,12.0,Sussex,"{'Rich', 'Toasty'}",,25<Price<=50,ABV<=12.5,
Domaine Trouillet ‘Aux Chailloux’ Pouilly-Fuissé Premier Cru 2020,57.32,Chardonnay,Natural Cork,France,"{'Lemon', 'Citrus Fruit', 'Almond', 'Floral'}",White,13.5,Burgundy,"{'Ripe', 'Rounded'}",2020.0,Price>50,12.5<ABV<=13.5,2015<Vintage<=2020
Ruinart 'Second Skin' Blanc de Blancs Champagne,126.65333333333332,Chardonnay,Natural Cork,France,"{'Lemon', 'Pastry', 'Apricot'}",White,12.5,,"{'Rich', 'Toasty'}",,Price>50,ABV<=12.5,
"Nivola Lambrusco, Italy",19.986666666666668,Lambrusco Grasparossa,Natural Cork,Italy,"{'Red Fruit', 'Red Cherry', 'Violet'}",Red,10.5,,"{'Fruity', 'Crisp'}",,15<Price<=25,ABV<=12.5,
Cattier 'Millesime 2012' Premier Cru Brut Champagne,79.98666666666666,Pinot Meunier,Natural Cork,France,"{'Red Fruit', 'Peach', 'Apricot'}",White,12.5,,"{'Rich', 'Toasty'}",2012.0,Price>50,ABV<=12.5,Vintage<=2015
Bollinger Special Cuvée Champagne Half Bottle,79.97333333333333,Chardonnay,Natural Cork,France,"{'Biscuit', 'Citrus Fruit', 'Bread'}",White,12.0,,"{'Rich', 'Toasty'}",,Price>50,ABV<=12.5,
Freixenet 0.0% Alcohol Free Sparkling,9.32,Airen,Natural Cork,Spain,"{'Green Apple', 'Lemon', 'Citrus Fruit'}",White,,,"{'Refreshing', 'Light'}",,Price<=15,,
"Emma Marris Sauvignon Blanc 2023, Marlborough",15.986666666666666,Sauvignon Blanc,Screwcap,New Zealand,"{'Green Apple', 'Lemon', 'Grass', 'Gooseberry', 'Tropical Fruit'}",White,13.0,Marlborough,"{'Zesty', 'Crisp'}",2023.0,15<Price<=25,12.5<ABV<=13.5,Vintage>2020
M. Chapoutier 'Belleruche' Côtes du Rhône 2021/22,17.32,Grenache,Screwcap,France,"{'Blackberry', 'Earth', 'Spice', 'Raspberry', 'Black Plum'}",Red,14.5,Rhône,"{'Bold', 'Spicy'}",2022.0,15<Price<=25,13.5<ABV<=14.5,Vintage>2020
"The Ned Pinot Grigio 2022/23, Marlborough",15.32,Pinot Grigio,Screwcap,New Zealand,"{'Nectarine', 'Blossom', 'Pear Drop', 'Green Fruit'}",White,14.0,Marlborough,"{'Smooth', 'Light'}",2023.0,15<Price<=25,13.5<ABV<=14.5,Vintage>2020
Château de Pizay Morgon 2021/22,21.32,Gamay,Natural Cork,France,"{'Blackberry', 'Raspberry', 'Red Cherry', 'Vanilla'}",Red,14.0,Beaujolais,"{'Soft', 'Fruity'}",2021.0,15<Price<=25,13.5<ABV<=14.5,Vintage>2020
"Contesa Pecorino 2021/22, Colline Pescaresi",13.32,Pecorino,Synthetic Cork,Italy,"{'Green Apple', 'Lemon', 'Blossom', 'Citrus Fruit'}",White,13.0,Abruzzo,"{'Ripe', 'Rounded'}",2022.0,Price<=15,12.5<ABV<=13.5,Vintage>2020
"Château Caronne Ste-Gemme 2016/18, Haut-Médoc",25.319999999999997,Cabernet Sauvignon,Natural Cork,France,"{'Earth', 'Tobacco', 'Smoke', 'Blackcurrant', 'Cedar', 'Black Fruit'}",Red,13.5,Bordeaux,"{'Full Bodied', 'Savoury'}",2018.0,25<Price<=50,12.5<ABV<=13.5,2015<Vintage<=2020
Viña Alarde Rioja Reserva 2016/18,15.986666666666666,Tempranillo,Natural Cork,Spain,"{'Red Fruit', 'Black Fruit', 'Vanilla'}",Red,13.5,Rioja And Navarra,"{'Full Bodied', 'Savoury'}",2018.0,15<Price<=25,12.5<ABV<=13.5,2015<Vintage<=2020
"Nunzio Ghiraldi Lugana DOC 2021/22, Italy",22.653333333333332,Turbiana,Natural Cork,Italy,"{'Citrus Fruit', 'Stone Fruit', 'Floral'}",White,14.0,Lombardy,"{'Ripe', 'Rounded'}",2022.0,15<Price<=25,13.5<ABV<=14.5,Vintage>2020
Beronia Rioja Crianza 2019/20,18.653333333333332,Tempranillo,Natural Cork,Spain,"{'Red Fruit', 'Black Fruit', 'Vanilla'}",Red,14.0,Rioja And Navarra,"{'Smooth', 'Mellow'}",2020.0,15<Price<=25,13.5<ABV<=14.5,2015<Vintage<=2020
"Managers' Choice: VIK 'A' Cabernet Sauvignon 2020/21, Cachapoal Valley",26.653333333333332,Cabernet Sauvignon,Natural Cork,Chile,"{'Blackcurrant', 'Cedar', 'Green Bell Pepper', 'Black Cherry', 'Black Plum'}",Red,14.0,Central Valley,"{'Bold', 'Spicy'}",2021.0,25<Price<=50,13.5<ABV<=14.5,Vintage>2020
"Framingham 'Nobody's Hero' Sauvignon Blanc 2020/22, Marlborough",19.986666666666668,Sauvignon Blanc,Screwcap,New Zealand,"{'Green Apple', 'Lemon', 'Grass', 'Gooseberry', 'Tropical Fruit'}",White,13.5,Marlborough,"{'Zesty', 'Crisp'}",2022.0,15<Price<=25,12.5<ABV<=13.5,Vintage>2020
Definition Chianti Classico DOCG 2019/20,15.986666666666666,Sangiovese,Natural Cork,Italy,"{'Red Fruit', 'Red Cherry', 'Earth'}",Red,13.0,Tuscany,"{'Full Bodied', 'Savoury'}",2020.0,15<Price<=25,12.5<ABV<=13.5,2015<Vintage<=2020
"Penfolds 'Max's' Shiraz-Cabernet Sauvignon 2018/19, Australia",30.653333333333332,Shiraz,Natural Cork,Australia,"{'Blackberry', 'Tobacco', 'Blackcurrant', 'Chocolate', 'Vanilla', 'Sweet Spice', 'Blueberry', 'Black Plum'}",Red,14.5,South Australia,"{'Bold', 'Spicy'}",2019.0,25<Price<=50,13.5<ABV<=14.5,2015<Vintage<=2020
Château de La Tour de l'Ange Saint-Véran 2021/22,30.653333333333332,Chardonnay,Natural Cork,France,"{'Pear', 'Peach', 'Almond'}",White,13.0,Burgundy,"{'Fresh', 'Elegant'}",2022.0,25<Price<=50,12.5<ABV<=13.5,Vintage>2020
"Château Tour Bayard 2019/20, Montagne-Saint-Émilion",23.986666666666665,Merlot,Natural Cork,France,"{'Sweet Spice', 'Liquorice', 'Blackcurrant'}",Red,15.0,Bordeaux,"{'Full Bodied', 'Savoury'}",2020.0,15<Price<=25,ABV>14.5,2015<Vintage<=2020
"Mendel Selection Malbec 2018/20, Mendoza",30.653333333333332,Malbec,Natural Cork,Argentina,"{'Ripe Fruit', 'Spice', 'Vanilla', 'Violet', 'Red Fruit', 'Black Fruit'}",Red,14.5,Mendoza,"{'Rich', 'Juicy'}",2020.0,25<Price<=50,13.5<ABV<=14.5,2015<Vintage<=2020
"Cecchi ‘Governo All’uso Toscano’ 2020/21, Chianti DOCG",15.986666666666666,Sangiovese,Natural Cork,Italy,"{'Sweet Spice', 'Black Cherry', 'Red Fruit'}",Red,13.0,Tuscany,"{'Rich', 'Juicy'}",2020.0,15<Price<=25,12.5<ABV<=13.5,2015<Vintage<=2020
Domini Veneti Soave Classico DOC 2021/22,15.986666666666666,Garganega,Synthetic Cork,Italy,"{'Pineapple', 'Citrus Fruit', 'Blossom', 'Tropical Fruit'}",White,12.5,Veneto,"{'Fresh', 'Elegant'}",2022.0,15<Price<=25,ABV<=12.5,Vintage>2020
"Primitivo 'Il Feudo' 2021/22, Puglia",11.986666666666666,Primitivo,Synthetic Cork,Italy,"{'Red Fruit', 'Dried Herbs', 'Spice'}",Red,13.0,Puglia,"{'Soft', 'Fruity'}",2022.0,Price<=15,12.5<ABV<=13.5,Vintage>2020
Castello Banfi Rosso di Montalcino DOC 2019/20,26.653333333333332,Sangiovese,Natural Cork,Italy,"{'Red Cherry', 'Raspberry', 'Strawberry', 'Spice'}",Red,14.5,Tuscany,"{'Smooth', 'Mellow'}",2020.0,25<Price<=50,13.5<ABV<=14.5,2015<Vintage<=2020
"Domodo Negroamaro 2021/22, Puglia",13.32,Negroamaro,Screwcap,Italy,"{'Sweet Spice', 'Blackcurrant', 'Blackberry'}",Red,12.0,Puglia,"{'Bold', 'Spicy'}",2022.0,Price<=15,ABV<=12.5,Vintage>2020
"Vasse Felix 'Filius' Cabernet-Merlot 2020/21, Margaret River",19.986666666666668,Cabernet Sauvignon,Screwcap,Australia,"{'Blackberry', 'Leather', 'Spice', 'Blackcurrant', 'Vanilla', 'Sweet Spice', 'Black Plum'}",Red,14.5,Western Australia,"{'Full Bodied', 'Savoury'}",2021.0,15<Price<=25,13.5<ABV<=14.5,Vintage>2020
"Naudin Père et Fils Chardonnay 2021/22, France",15.986666666666666,Chardonnay,Natural Cork,France,"{'Lemon', 'Peach', 'Mango'}",White,13.5,Other France,"{'Fresh', 'Elegant'}",2022.0,15<Price<=25,12.5<ABV<=13.5,Vintage>2020
"Oliver Dubois Muscadet 2020/22, Loire",13.32,Melon De Bourgogne,Screwcap,France,"{'Green Apple', 'Pear', 'Lemon', 'Lime'}",White,12.0,Loire,"{'Zesty', 'Crisp'}",2022.0,Price<=15,ABV<=12.5,Vintage>2020
"Caves d'Esclans 'The Beach by Whispering Angel' 2021/22, Côteaux d'Aix-en-Provence",25.319999999999997,Grenache,Natural Cork,France,"{'Raspberry', 'Peach', 'Strawberry'}",Rosé,13.0,Provence,"{'Delicate', 'Dry'}",2022.0,25<Price<=50,12.5<ABV<=13.5,Vintage>2020
"Corallo Nero d’Avola Organic 2020/21, Sicily",11.986666666666666,Nero D'Avola,Screwcap,Italy,"{'Red Fruit', 'Black Pepper', 'Spice'}",Red,13.5,Sicily,"{'Smooth', 'Mellow'}",2021.0,Price<=15,12.5<ABV<=13.5,Vintage>2020
"Naudin Père et Fils Pinot Noir 2022, France",15.986666666666666,Pinot Noir,Natural Cork,France,"{'Red Fruit', 'Black Fruit', 'Floral'}",Red,13.0,Other France,"{'Elegant', 'Light'}",2022.0,15<Price<=25,12.5<ABV<=13.5,Vintage>2020
Selvapiana Chianti Rufina Riserva DOCG 2018/20,26.653333333333332,Sangiovese,Natural Cork,Italy,"{'Red Cherry', 'Raspberry', 'Strawberry', 'Spice'}",Red,14.0,Tuscany,"{'Smooth', 'Mellow'}",2018.0,25<Price<=50,13.5<ABV<=14.5,2015<Vintage<=2020
Paul Jaboulet Aîné 'Parallèle 45' Organic Côtes du Rhône 2020/21,18.653333333333332,Grenache,Natural Cork,France,"{'Blackberry', 'Earth', 'Spice', 'Raspberry', 'White Pepper', 'Black Plum'}",Red,14.0,Rhône,"{'Bold', 'Spicy'}",2020.0,15<Price<=25,13.5<ABV<=14.5,2015<Vintage<=2020
"Domaine du Vaux St Georges Sauvignon Blanc 2021/22, Touraine",18.653333333333332,Sauvignon Blanc,Natural Cork,France,"{'Green Apple', 'Citrus Fruit', 'Grass'}",White,13.5,Loire,"{'Fresh', 'Elegant'}",2022.0,15<Price<=25,12.5<ABV<=13.5,Vintage>2020
"Baron Edmond de Rothschild 'Rimapere' Sauvignon Blanc 2022, Marlborough",26.653333333333332,Sauvignon Blanc,Screwcap,New Zealand,"{'Green Apple', 'Lemon', 'Tropical Fruit', 'Grass'}",White,13.0,Marlborough,"{'Zesty', 'Crisp'}",2022.0,25<Price<=50,12.5<ABV<=13.5,Vintage>2020
Domaine Olivier Foucher Menetou-Salon 2021/22,23.986666666666665,Sauvignon Blanc,Natural Cork,France,"{'Green Apple', 'Citrus Fruit', 'Grass'}",White,14.0,Loire,"{'Fresh', 'Elegant'}",2022.0,15<Price<=25,13.5<ABV<=14.5,Vintage>2020
Domaine Moillard-Thomas Santenay Rouge 2018/19,37.32,Pinot Noir,Natural Cork,France,"{'Red Cherry', 'Raspberry', 'Vanilla'}",Red,14.0,Burgundy,"{'Elegant', 'Light'}",2019.0,25<Price<=50,13.5<ABV<=14.5,2015<Vintage<=2020
Domaine de Villemajou Organic Corbières Boutenac Rouge 2020/21,26.653333333333332,Carignan,Natural Cork,France,"{'Blackberry', 'Dried Herbs', 'Black Plum', 'Spice'}",Red,15.0,Languedoc-Roussillon,"{'Bold', 'Spicy'}",2021.0,25<Price<=50,ABV>14.5,Vintage>2020
"Definition Riesling Kabinett 2021/22, Mosel",18.653333333333332,Riesling,Screwcap,Germany,"{'Lychee', 'Citrus Fruit', 'Apricot'}",White,8.0,Germany,"{'Zesty', 'Crisp'}",2022.0,15<Price<=25,ABV<=12.5,Vintage>2020
"Petaluma ‘White Label’ Cabernet Sauvignon 2017/19, Coonawarra",26.653333333333332,Cabernet Sauvignon,Screwcap,Australia,"{'Cassis', 'Earth', 'Spice', 'Blackcurrant', 'Redcurrant'}",Red,14.0,Australia,"{'Full Bodied', 'Savoury'}",2019.0,25<Price<=50,13.5<ABV<=14.5,2015<Vintage<=2020
"Adega de Pegões ‘Selected Harvest’ White 2021/22, Portugal",15.986666666666666,Fernão Pires,Natural Cork,Portugal,"{'Cream', 'Citrus Fruit', 'Stone Fruit', 'Floral'}",White,13.0,Península De Setúbal,"{'Ripe', 'Rounded'}",2021.0,15<Price<=25,12.5<ABV<=13.5,Vintage>2020
"LB7 Red 2019/20 Boxed Wine 2.25L, Lisbon",11.995555555555555,Castelão ,,Portugal,"{'Blackberry', 'Black Fruit', 'Black Plum', 'Spice'}",Red,13.5,Lisboa,"{'Rich', 'Juicy'}",2020.0,Price<=15,12.5<ABV<=13.5,2015<Vintage<=2020
