year;Alsace;Auvergne;Auxerre-Avalon;Beaujolais and Maconnais;Bordeaux;Burgundy;Champagne;Gaillac- South-West;Germany;High Loire Valley;Ile de France;Jura;Languedoc;Low Loire Valley;Luxembourg;Maritime alps;Northern Italy;Northern Lorraine;Northern Rhone Valley;Savoie;Southern Lorraine;Southern Rhone Valley;Spain;Switzerland (Leman Lake);Various South-East;Vendée - Poitou Charente
1467;;;;;;27.0000;;;;;;46.0000;;;;;;;;;;15.0000;;;;
1468;;;;;;32.0000;;;;;;;;;;;;;;;;;;;;
1469;;;;;;20.0000;;;;;;;;;;;;;;;;18.0000;;;;
1470;;;;;;37.0000;;;;;;;;;;;;;;;;17.0000;;;;
1471;;;;;;11.0000;;;;;;;;;;;;;;;;;;;;
1472;;;;;;23.0000;;;;;;;;;;;;;;;;;;;;
1473;;;;;;-2.0000;;;;;;;;;;;;;;;;;;;;
1474;;;;;45.0000;39.0000;;;;;;;;;;;;;;;;;;;;
1475;;;;;;31.0000;;;;;;;;;;;;;;;;13.1000;;;;
1476;;;;;36.0000;28.0000;;;;;;;;;;;;;;;;7.8000;;;;
1477;;;;;;41.0000;;;;;;;;;;;;;;;;;;;;
1478;;;;;25.0000;19.0000;;;;;23.3000;;;;;;;;;;;;;;;
1479;;;;;;16.0000;;;;;;;;;;;;;;;;;;;;
1480;;;;;;39.0000;;;;;;;;;;;;;;;;;;48.0000;;
1481;;;;;;47.0000;;;;;;;;;;;;;;;;;;;;
1482;;;;;41.0000;16.0000;;;;;;;;;;;;;;;;;;;;
1483;;;;;26.0000;15.0000;;18.0000;;;;;;;;;;;;;;;;;;
1484;;;;;14.0000;21.0000;;;;;37.3000;;;;;;;;;;;7.6000;;;;
1485;;;;;53.0000;44.0000;;50.0000;;;15.0000;;;;;;;;;;;;;;;
1486;;;;;;21.0000;;;;;15.3000;;;;;;;;;;;;;;;
1487;;;;;;23.0000;;;;;25.3000;;;;;;;;;;;;;;;
1488;;;;;;43.0000;;;;;45.2000;;;;;;;;;;;;;;;
1489;;;;;;32.0000;;;;;19.3000;;;;;;;;;;;;;;;
1490;;;;;;26.0000;;;;;24.3000;;;;;;;;;;;;;;;
1491;;;;;;46.0000;;;;;49.3000;;;;;;;;;;;;;;;
1492;;;;;;;;25.0000;;;;24.0000;;;;;;;;;;;;;;
1493;;;;;;36.0000;;29.0000;;;31.3000;43.0000;;;;;;;;;;;;;;
1494;;;;;;19.0000;;;;;;24.0000;;;;;;;;;;;;;;
1495;;;;;;14.0000;;;;;;;;;;;;;;;;;;;;
1496;;;;;;41.0000;;;;;36.1000;;;;;;;;;;;;;44.0000;;
1497;;;;;;40.0000;;;;;32.6000;;;;;;;;;;;;;23.0000;;
1498;;;;;;27.0000;;;;;19.3000;;;;;;;;;;;;;34.0000;;
1499;;;;;;29.0000;;34.0000;;;;;;;;;;;;;;;49.0000;35.0000;;
1500;;;;;;14.0000;;;;;;;;;;14.0000;;;;;;;40.0000;;;
1501;;;;;;19.0000;;16.0000;;;;;;;;;;;;;;;37.0000;;;
1502;;;;;;29.0000;;;;;15.4000;;;;;12.0000;;;;;;;;33.0000;;
1503;;;;;;28.0000;;27.0000;;;6.4000;;;;;;;;;;;;39.0000;17.0000;;
1504;;;;;;15.0000;;;;;;21.0000;;;;;;;;;;;36.0000;27.0000;;
1505;;;;;;43.0000;;;;;43.0000;;;;;;;;;;;;;46.0000;;
1506;;;;;;28.0000;;36.0000;;;17.4000;;;;;;;;;;;;48.0000;41.0000;;
1507;;;;;;16.0000;;;;;9.4000;45.0000;;;;;;;;;;;;26.0000;;
1508;;;;;;30.0000;;;;;28.4000;46.0000;;;;;;;;;;;53.0000;;;
1509;;;;;;20.0000;;;;;20.4000;;;;;;;;;;;;;35.0000;;
1510;;;;;;30.0000;;;;;27.5000;;;;;;;;;;;;45.0000;35.0000;;
1511;;;;;;44.0000;;;;;35.5000;;;;;;;;;;;;35.0000;51.0000;;
1512;;;;;;24.0000;;25.0000;;;16.4000;;;;;;;;;;;;45.0000;33.0000;;
1513;;;;;;;;;;;19.4000;;;;;;;;;;;;57.0000;35.0000;;
1514;;;;;;33.0000;;;;;11.4000;;;;;;;;;;;;;36.0000;;
1515;;;;;;35.0000;;;;;13.4000;;;;;;;;;;;;;46.0000;;
1516;;;;;;12.0000;;;;;3.4000;;;;;12.0000;;;;;;;;;;
1517;;;;;;26.0000;;3.0000;;;;;;;;17.0000;;;;;;;45.0000;24.0000;;
1518;;;;;;22.0000;;;;;12.4000;;;;;24.0000;;;;;;;;35.0000;;
1519;;;;;;40.0000;;;;;;;;;;18.0000;;;;;;;47.0000;41.0000;;
1520;;;;;;;;;;;10.3000;;;;;23.0000;;;;;;;;26.0000;;
1521;;;;;;;;;;;21.3000;;;;;;;;;;;;;26.0000;;
1522;;;;;;36.0000;;;;;26.3000;;;;;;;;;;;;;41.0000;;
1523;;;;;;26.0000;;;;;24.4000;;;;;;;;;;;;;35.0000;;
1524;;;;;;;;;;;11.4000;25.0000;3.4000;;;;;;;;;;;;;
1525;;;;;;21.0000;;;;;17.9000;34.5000;;;;;;;;;;;;;;
1526;;;;;;;;;;;23.4000;40.0000;;;;;;;;;;;;33.0000;;
1527;;;;;;43.0000;;;;;38.9000;56.0000;;;;;;;;;;40.8000;61.0000;;;
1528;;;;;;35.0000;;;;;22.9000;52.0000;;;;;;;;;;;53.0000;39.0000;;
1529;;;;;;;;;;;40.4000;60.5000;;;;;;;;;;;45.0000;50.0000;;
1530;;;;;;15.0000;;;;;11.4000;25.0000;;;;;;;;;;;;50.0000;;
1531;;;;;;;;;;;25.4000;36.5000;;;;;;;;;;;;35.0000;;
1532;;;;;27.0000;20.0000;;;;;22.4000;34.0000;;;;;;;;;;2.0000;;;;
1533;;;;;35.0000;36.0000;;;;;21.4000;38.5000;;;;;;;;;;;;39.0000;;
1534;;;;;24.0000;20.0000;;;;;14.4000;25.0000;;;;;;;;;;2.9000;;;;
1535;;;;;;30.0000;;;;;26.4000;47.5000;;;;;;;;;;;;;;
1536;;;;;;8.0000;;;;;;33.0000;20.1000;;;;;;;;;;;;;
1537;;;;;;40.0000;;;;;27.3000;46.0000;;;;;;;20.0000;;;18.0000;;;;
1538;;;;;;12.0000;;;;;5.4000;27.0000;;;;;;;;;;;;;;
1539;;;;;;26.0000;;;;;26.3000;37.5000;;;;;;;;;;;;;;
